id;language;title;field_product_cp_type;field_product_cp_category;body;field_product_cp_brand;field_product_cp_brand_thumb;field_product_cp_package_picture;field_link;field_product_cp_loyality;field_product_cp_status;field_product_cp_auth_number;field_product_cp_composition;field_product_cp_active_group;field_product_cp_formulation;field_product_cp_mode_action;field_product_cp_mode_detail;field_product_cp_end_date_growers;field_product_cp_end_date_disrtibutors;field_product_cp_pack_size;field_product_cp_nanum_number;field_product_cp_a_number_design;field_product_cp_security_icon;field_product_cp_legal_warning;field_product_cp_re_entry_period;field_product_cp_hazard_statements;field_product_cp_precautionary_s;field_product_cp_personal_equip;field_product_cp_other_restric;field_product_cp_tank_mixing;field_product_cp_tank_prepar;field_product_cp_particular_term;field_product_cp_mix_and_spray;field_product_cp_water_volume;field_product_cp_pressure;field_product_cp_rainfastness;field_product_cp_frost_sensitiv;field_product_cp_humidity_sensit;field_product_cp_light_sensit;field_product_cp_tank_lifespan;field_product_cp_tank_stability;field_product_cp_carry_over;field_product_cp_minor_use;field_product_cp_stewardship;field_product_cp_emergency;field_product_cp_section_title;field_product_cp_section_desc;field_product_cp_leg_information;field_product_cp_manual_date_ove;field_product_cp_last_update_dat;field_product_cp_pdf_file;external_field_product_cp_pdf;field_product_cp_registrant;field_product_cp_shelf_life;field_product_cp_class_of_danger;field_product_cp_danger_bees;field_product_cp_addl_flx;metatag_title;metatag_description;metatag_keywords
12679;nl;Actara (W8);Insecticide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/0877e092-f882-4e6b-699c-292878659098/1496408451913613098-1120x110_actara_logo_17_0%20%281%29.png;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/0877e092-f882-4e6b-699c-292878659098/1496752405660862054-Actara%20logo%20400x135.jpg;;;;;12679 N;"""25 %"",""thiamethoxam""";;WG (Water dispergeerbaar granulaat);;;30.10.2020;30.10.2019;;;;;GHS09;;H410, EUH401;P273, SP 1, P391;;;;;;;;;;;;;;;;;;;;;;1;19.09.2018;;"""Gebruiksvoorschrift"",""57.9"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12679/W8/e1d3ccce-b3c6-46cb-654f-476daff5b0c5.pdf""|""Veiligheidsblad"",""325.1"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/12679/W8/301f9af1-6dd0-410e-b424-c589d32fe9de.pdf""";;;;;;;;
6469 W8;nl;Actellic 50 (W8);Insecticide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/da0446e8-6827-46f1-47c4-6ff5ec514914/1496752440890115640-SYNGENCP-7001_ACTELLIC.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/da0446e8-6827-46f1-47c4-6ff5ec514914/1519810543375922149-Actellic%2050%20logo%20400x135.jpg;;;;;6469 N;"""500 G/L"",""pirimifos-methyl""";;EC (Emulgeerbaar concentraat);;;01.07.2019;01.07.2018;;;;;GHS02, GHS07, GHS05, GHS09, GHS08;;H410, H318, EUH066, H302, H336, H304, EUH401, H226, H351, H317, H335;P331, P305 + P351 + P338 + P310, P210, P273, P280, P301 + P310, SP 1;;;;;;;;;;;;;;;;;;;;;;1;06.12.2013;;"""Veiligheidsblad"",""455.45"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/6469/W9/3d91f54c-8dd5-4d3b-b0cc-ce17a6b299b0.pdf""|""Gebruiksvoorschrift"",""9.65"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/6469/W8/80567bcc-3ad0-4aa9-7c10-082c71444dc5.pdf""";;;;;;;;
6469;nl;Actellic 50 (W9);Insecticide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/da0446e8-6827-46f1-47c4-6ff5ec514914/1496752440890115640-SYNGENCP-7001_ACTELLIC.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/da0446e8-6827-46f1-47c4-6ff5ec514914/1519810543375922149-Actellic%2050%20logo%20400x135.jpg;;;;;6469 N;"""500 G/L"",""pirimifos-methyl""";;EC (Emulgeerbaar concentraat);;;;;;;;;GHS05, GHS09, GHS02, GHS08, GHS07;;H410, H226, EUH066, H304, H351, H335, H336, H302, H318, H317, EUH401;P301 + P310, P305 + P351 + P338 + P310, P331, SP 1, P273, P280, P210;;;;;;;;;;;;;;;;;;;;;;1;01.01.2018;;"""Veiligheidsblad"",""455.45"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/6469/W9/3d91f54c-8dd5-4d3b-b0cc-ce17a6b299b0.pdf""|""Gebruiksvoorschrift"",""71.45"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/6469/W9/f417bb68-b8ff-49e7-67de-58989e55054b.pdf""";;;;;;;;
15745;nl;Adigor;;;;;;;;;;15745 N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;26.10.2018;;"""Veiligheidsblad"",""345.25"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/15745/0/49ba61d0-21fc-4a24-9ff6-4d02dfc46f32.pdf""|""Gebruiksvoorschrift"",""45.8"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/15745/0/a7d6ade3-dbab-4f2b-957f-d362d631ffa7.pdf""";;;;;;;;
13455 W3;nl;Affirm (W3);Insecticide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/075514d6-0da8-43c5-67f5-f82893adbc4e/1496752458641610783-SYNGENCP-7001_AFFIRM.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/075514d6-0da8-43c5-67f5-f82893adbc4e/1496752517344098013-Affirm%20logo%20400x135.jpg;;;;;13455 N;"""9,5 G/KG"",""emamectin benzoaat""";;SG (Wateroplosbaar granulaat);;;;;;;;;GHS09;;EUH401, H410;P391, SP 1, P273;;;;;;;;;;;;;;;;;;;;;;1;01.01.2018;;"""Veiligheidsblad"",""327.5"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/13455/W4/3e0c657d-2dc9-408f-ac8b-b77c3d95025b.pdf""|""Gebruiksvoorschrift"",""95.8"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/13455/W3/e4a98db1-e3b2-490f-4624-ea5fb75ff01f.pdf""";;;;;;;;
13455;nl;Affirm (W4);Insecticide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/075514d6-0da8-43c5-67f5-f82893adbc4e/1496752458641610783-SYNGENCP-7001_AFFIRM.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/075514d6-0da8-43c5-67f5-f82893adbc4e/1496752517344098013-Affirm%20logo%20400x135.jpg;;;;;13455 N;"""9,5 G/KG"",""emamectin benzoaat""";;SG (Wateroplosbaar granulaat);;;;;;;;;GHS09;;EUH401, H410;P391, P273, SP 1;;;;;;;;;;;;;;;;;;;;;;1;08.03.2019;;"""Veiligheidsblad"",""327.5"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/13455/W4/3e0c657d-2dc9-408f-ac8b-b77c3d95025b.pdf""|""Gebruiksvoorschrift"",""93.2"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/13455/W4/2d529166-c8a1-4d9f-807d-7663444d56be.pdf""";;;;;;;;
14658;nl;Agral Gold;;;;;;;;;;14658 N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24.08.2018;;"""Gebruiksvoorschrift"",""107.4"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/14658/0/38810f10-8d28-4898-7291-0745b3960ddc.pdf""|""Veiligheidsblad"",""275"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/14658/0/c1640051-4889-4593-bb9f-72b1b1674046.pdf""";;;;;;;;
11767 W6;nl;Amistar (W6);Fungicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/c5c33bff-032d-45f8-4984-5bf8747474cf/1496752538344837523-1120x110_amistar_logo_1_0.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/c5c33bff-032d-45f8-4984-5bf8747474cf/1496752542844212109-Amistar%20logo%20400x135.jpg;;;;;11767 N;"""250 G/L"",""azoxystrobin""";;SC (Suspensie concentraat);;;01.07.2020;01.07.2019;;;;;GHS09;;EUH401, H410;P391, P102, SP 1, P270;;;;;;;;;;;;;;;;;;;;;;1;14.10.2011;;"""Gebruiksvoorschrift"",""18"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/11767/W6/04f86a6f-e22c-4324-428c-5547697e7714.pdf""|""Veiligheidsblad"",""342.5"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/11767/W6/8be85d36-496d-4288-9fcd-117ab8ccff7d.pdf""";;;;;;;;
11767;nl;Amistar (W7);Fungicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/c5c33bff-032d-45f8-4984-5bf8747474cf/1496752538344837523-1120x110_amistar_logo_1_0.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/c5c33bff-032d-45f8-4984-5bf8747474cf/1496752542844212109-Amistar%20logo%20400x135.jpg;;;;;11767 N;"""250 G/L"",""azoxystrobin""";;SC (Suspensie concentraat);;;;;;;;;GHS09;;EUH401, H410;P270, SP 1, P102, P391;;;;;;;;;;;;;;;;;;;;;;1;01.01.2019;;"""Gebruiksvoorschrift"",""81.7"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/11767/W7/fd54bf83-c757-4750-43e9-d259e88b43e1.pdf""|""Veiligheidsblad"",""342.5"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/11767/W6/8be85d36-496d-4288-9fcd-117ab8ccff7d.pdf""";;;;;;;;
13197 W0;nl;Amistar Top;Fungicide;Gewasbescherming;;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/banner_image/f18daccc-dcdc-465e-581c-eebfb2460cfe/1496752551483037053-SYNGENCP-7001_AMISTAR-TOP.jpg;http://portal-agro4all-com.s3.eu-central-1.amazonaws.com/logo_image/f18daccc-dcdc-465e-581c-eebfb2460cfe/1496752554916342138-Amistar%20Top%20logo%20400x135.jpg;;;;;13197 N;"""200 G/L"",""azoxystrobin""|""125 G/L"",""difenoconazool""";;SC (Suspensie concentraat);;;;;;;;;GHS07, GHS09;;H317, EUH401, H410, H332;SP 1, P261, P391, P333 + P313, P280, P304 + P340, P312, P302 + P352, P102;;;;;;;;;;;;;;;;;;;;;;1;21.12.2018;;"""Veiligheidsblad"",""389.25"",""http://nl-static-agro4all-com.s3.eu-central-1.amazonaws.com/product/13197/W1/3ac13200-88e2-4539-84aa-c321a39829d4.pdf""";;;;;;;;
